"","0.45","0.48","0.5","0.51","0.52","0.53","0.54","0.55","0.56","0.58","0.6","0.62","0.64","0.66","0.68","0.7"
"bayesian | a=1 | b=1 | critical_value=0.002441406250995117",19898.1386726096,19711.127020913,19035.4050088985,17436.0079334901,13323.6690597164,7218.88160900698,2615.79297809677,877.937642143797,470.825066310177,263.809023047727,172.230239462593,121.470522883468,90.4165706208954,70.0241781106982,55.9002383951415,45.7052420639348
"max_sprt | alpha=0.015625000586733228",19766.2251315539,19546.6661894654,18980.0284420858,17750.9881228157,14333.5936726463,8504.49449147855,3347.22902433472,1078.15368335044,512.462609838586,274.179611178406,176.822651019034,123.430270270983,90.9818866410818,69.7754219108758,55.1424670015349,44.6107780182771
"bravo    | p=0.7 | alpha=0.058559570312499996",19767.8270485619,19442.168022755,19003.0957435803,18668.2570558718,18221.4822113424,17625.2153614427,16829.1545123584,15765.8849707493,14345.1248326178,9930.17122765071,3495.82417083782,341.410959995795,94.8438976383353,61.7153249451759,45.7905811762344,36.3825061094811
"bravo    | p=0.55 | alpha=0.0566083984375",19997.1520941006,19904.6018411449,19040.814382001,17166.9876504336,13014.9929801789,7179.18549707851,2667.23469019114,856.413307628583,433.087488637324,263.27256026055,193.385183500207,152.797566807192,126.287365157204,107.61494052862,93.7532298999809,83.0556439631176
"bravo    | p=0.51 | alpha=0.25270117187499996",19999.9972443354,19989.5738896583,19084.0398503559,15962.1953212343,9835.08784638282,4062.09600250581,1451.48983822846,802.753995271794,628.277357988397,460.631468097714,363.972195886008,300.810042799148,256.293115798434,223.220207210918,197.738678695381,177.584455387165
"clip     | alpha=0.0468525390625",19893.6567041684,19695.077779854,19030.0558260353,17555.3205223964,13720.0760569385,7730.67333979603,2896.3782239908,942.243277673602,474.546305779461,259.979110426767,169.039608713647,119.027611085904,88.5605358095531,68.6050633252256,54.8069980877122,44.8583369564723
"bravo_without_replacement | p=0.7 | alpha=0.0582103237658739",19779.7571922567,19461.0121890007,19026.4537996981,18693.3146462741,18247.4825604752,17651.0162203751,16853.1496741948,15785.9417028267,14358.5918833923,9923.13158505494,3482.14103207793,339.934194681191,94.9587375232146,61.9434589020163,46.0566612259491,36.6658373310299
"bravo_without_replacement | p=0.55 | alpha=0.0527060546875",19997.512207108,19908.9795592293,19033.4816496066,17096.7138099463,12826.3596950207,6948.6962883716,2539.6644483683,826.149419018939,431.83006718928,266.295926758204,196.309828564751,155.431741996495,128.637369612086,109.715468609354,95.6359565405813,84.7490500551548
"bravo_without_replacement | p=0.51 | alpha=0.22733593749999997",19999.9986271256,19990.7781791077,19069.2595466893,15863.5705801923,9659.79555528857,3951.56927314932,1439.62771359676,825.125184583893,654.314863828664,484.038915615243,384.384853316721,318.668649412127,272.126248487707,237.598664886327,210.993501689728,189.735691495076
"truncated_bayesian | a=1 | b=1 | critical_value=0.060556269531250005",19708.5471218876,19449.664706677,19005.8801664587,18319.2758487543,16269.087074447,11613.30658104,5692.98178052048,1918.17179823163,692.628065831315,300.89161253292,184.550048314996,123.940450823998,88.6157430023374,66.3456187245277,51.4620128433429,41.0559429580115
"bayesian_with_replacement | a=1 | b=1 | critical_value=0.002746582041195069",19893.2463394869,19693.6486351138,19027.6148902042,17553.2949184698,13719.9277871803,7732.07374210476,2897.33161733955,942.355661290247,474.39416737534,259.783613213516,168.845484527284,118.849252579883,88.4029408947131,68.4681192428669,54.6896492455831,44.7608901307226
